timestamp,pair,direction,entry,stop,target,score,rationale,status
2025-11-24T01:22:50.264899,BNBUSDT,SHORT,839.18,847.5717999999999,822.3964,-0.5,Confluence of 2 signals,OPEN
2025-11-24T01:28:31.873134,SOLUSDT,LONG,131.1,129.789,133.722,0.5,Confluence of 2 signals,OPEN
2025-11-24T01:28:32.590885,HEMIUSDT,LONG,0.01965,0.019453500000000002,0.020043000000000002,0.5,Confluence of 4 signals,OPEN
2025-11-24T01:28:33.307903,BTCUSDT,LONG,86835.8,85967.442,88572.516,0.5,Confluence of 2 signals,OPEN
2025-11-24T01:32:47.834350,HEMIUSDT,LONG,0.01962,0.019423799999999998,0.0200124,0.75,Confluence of 3 signals,OPEN
2025-11-24T01:32:48.696988,BTCUSDT,LONG,86620.3,85754.09700000001,88352.706,0.5,Confluence of 2 signals,OPEN
2025-11-24T01:32:49.309765,ETHUSDT,LONG,2785.4,2757.5460000000003,2841.108,0.5,Confluence of 2 signals,OPEN
2025-11-24T01:32:50.614907,XRPUSDT,SHORT,2.0376,2.057976,1.9968479999999997,-0.5,Confluence of 2 signals,OPEN
2025-11-24T01:42:05.244469,ETHUSDT,SHORT,2780.9,2808.7090000000003,2725.282,-0.5,Confluence of 2 signals,OPEN
2025-11-24T01:42:05.959004,BNBUSDT,SHORT,837.64,846.0164,820.8872,-0.5,Confluence of 2 signals,OPEN
2025-11-24T01:42:06.572257,XRPUSDT,SHORT,2.035,2.0553500000000002,1.9943000000000002,-0.75,Confluence of 3 signals,OPEN
2025-11-24T01:42:07.187371,AVAXUSDT,SHORT,13.18,13.3118,12.9164,-0.5,Confluence of 2 signals,OPEN
2025-11-24T01:46:42.405723,SOLUSDT,SHORT,130.1,131.40099999999998,127.49799999999999,-0.5,Confluence of 2 signals,OPEN
2025-11-24T01:46:43.769843,BTCUSDT,SHORT,86513.9,87379.03899999999,84783.62199999999,-0.75,Confluence of 3 signals,OPEN
2025-11-24T01:46:44.488189,ETHUSDT,SHORT,2782.12,2809.9411999999998,2726.4775999999997,-0.5,Confluence of 2 signals,OPEN
2025-11-24T01:46:45.203089,BNBUSDT,LONG,837.8,829.4219999999999,854.5559999999999,0.5,Confluence of 2 signals,OPEN
